Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
bag_buckle,95.9 ± 1.0,99.5 ± 0.1,96.9 ± 0.3,99.6 ± 0.1,77.7 ± 1.6,74.2 ± 1.6,97.4 ± 0.3,36.8 ± 3.5,19.2 ± 5.2,12.8 ± 4.9,97.5 ± 0.8,99.7 ± 0.1,96.8 ± 0.6,38.7 ± 10.1,20.0 ± 6.9,2.7 ± 2.3
ball_pin,96.1 ± 0.2,99.5 ± 0.0,96.3 ± 0.1,99.2 ± 0.1,69.6 ± 0.1,62.5 ± 0.1,95.7 ± 0.1,47.6 ± 2.8,32.5 ± 2.8,11.9 ± 1.4,99.5 ± 0.1,99.9 ± 0.0,99.0 ± 0.3,8.0 ± 0.0,2.7 ± 2.3,0.0 ± 0.0
balun_transformer,82.9 ± 0.3,96.7 ± 0.2,91.7 ± 0.1,96.0 ± 0.2,74.2 ± 1.0,71.6 ± 1.3,70.0 ± 1.0,93.0 ± 2.0,80.8 ± 2.3,62.4 ± 3.0,90.3 ± 0.6,98.6 ± 0.1,95.9 ± 0.6,53.3 ± 9.2,37.3 ± 6.1,29.3 ± 2.3
battery,71.9 ± 1.7,93.7 ± 0.5,94.1 ± 0.1,88.5 ± 0.2,16.7 ± 0.3,22.5 ± 0.6,58.3 ± 0.1,90.9 ± 1.6,79.6 ± 5.2,66.1 ± 4.3,77.7 ± 2.0,95.1 ± 0.7,94.4 ± 0.3,85.3 ± 10.1,66.7 ± 8.3,52.0 ± 4.0
battery_holder_connector,90.1 ± 1.3,98.6 ± 0.2,95.0 ± 0.3,88.0 ± 0.4,41.8 ± 3.3,41.5 ± 4.1,78.9 ± 1.2,67.7 ± 6.0,46.8 ± 1.2,33.9 ± 2.2,97.6 ± 0.6,99.7 ± 0.1,97.9 ± 0.5,20.0 ± 10.6,13.3 ± 6.1,10.7 ± 2.3
battery_socket_connector,70.3 ± 2.2,93.4 ± 0.5,92.8 ± 0.1,89.1 ± 0.4,46.2 ± 3.3,45.9 ± 3.0,61.6 ± 0.9,84.9 ± 4.1,79.5 ± 4.8,73.6 ± 4.9,87.3 ± 1.6,98.3 ± 0.2,94.7 ± 0.2,81.3 ± 8.3,70.7 ± 2.3,48.0 ± 10.6
bend_connector,87.7 ± 0.2,98.0 ± 0.1,93.6 ± 0.2,92.1 ± 0.1,44.7 ± 0.1,47.0 ± 0.3,69.0 ± 0.3,81.7 ± 3.4,63.9 ± 1.4,39.6 ± 0.7,95.5 ± 0.9,99.3 ± 0.2,97.3 ± 0.2,32.0 ± 8.0,21.3 ± 2.3,10.7 ± 6.1
blade_switch,89.4 ± 2.4,98.2 ± 0.5,96.1 ± 0.2,95.3 ± 0.1,56.5 ± 0.4,57.0 ± 0.3,75.2 ± 0.3,49.9 ± 5.1,35.7 ± 3.0,26.4 ± 5.0,89.6 ± 3.1,98.2 ± 0.6,97.8 ± 0.5,26.7 ± 9.2,22.7 ± 6.1,21.3 ± 4.6
blue_light_switch,73.5 ± 1.4,93.1 ± 0.9,92.7 ± 0.1,84.7 ± 0.1,23.6 ± 2.5,32.8 ± 0.7,66.7 ± 0.3,90.9 ± 0.0,80.1 ± 0.3,67.5 ± 3.6,69.5 ± 8.8,93.1 ± 1.9,94.4 ± 0.1,93.3 ± 2.3,86.7 ± 2.3,76.0 ± 4.0
bluetooth_module,94.6 ± 1.0,99.3 ± 0.1,96.0 ± 0.3,94.9 ± 0.1,69.6 ± 0.2,63.5 ± 0.2,82.6 ± 0.3,55.7 ± 6.4,32.3 ± 3.9,19.5 ± 4.5,97.7 ± 1.0,99.7 ± 0.1,98.2 ± 1.0,21.3 ± 12.9,14.7 ± 11.5,6.7 ± 2.3
boost_converter_module,78.6 ± 1.8,95.1 ± 0.5,91.5 ± 0.2,93.3 ± 0.2,66.9 ± 0.9,63.6 ± 0.8,68.0 ± 0.9,88.4 ± 5.0,79.4 ± 4.7,64.5 ± 4.3,83.9 ± 2.1,97.5 ± 0.3,95.2 ± 0.4,73.3 ± 10.1,62.7 ± 10.1,49.3 ± 12.9
bread_model,85.1 ± 0.2,97.3 ± 0.1,93.1 ± 0.2,96.7 ± 0.0,65.8 ± 0.3,66.9 ± 0.3,87.4 ± 0.1,80.5 ± 1.7,69.5 ± 2.1,53.5 ± 1.3,90.4 ± 2.0,98.6 ± 0.3,96.1 ± 0.3,60.0 ± 4.0,41.3 ± 11.5,24.0 ± 6.9
brooch_clasp_accessory,98.9 ± 0.1,99.9 ± 0.1,98.2 ± 0.3,98.0 ± 0.0,77.6 ± 0.3,75.7 ± 0.2,93.0 ± 0.1,12.8 ± 4.4,1.9 ± 0.9,0.7 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
button_battery_holder,88.2 ± 1.1,98.2 ± 0.2,94.9 ± 0.2,91.3 ± 0.1,42.9 ± 0.3,45.0 ± 0.2,75.7 ± 0.2,70.1 ± 2.0,47.6 ± 4.0,32.3 ± 3.5,86.9 ± 2.3,98.1 ± 0.3,94.8 ± 0.5,77.3 ± 6.1,61.3 ± 12.2,38.7 ± 16.2
button_motor,96.9 ± 0.2,99.6 ± 0.0,97.1 ± 0.3,97.8 ± 0.1,75.0 ± 0.1,73.3 ± 0.1,84.4 ± 0.1,32.0 ± 6.0,16.0 ± 2.9,6.4 ± 0.8,97.6 ± 0.2,99.6 ± 0.1,98.5 ± 0.3,14.7 ± 4.6,9.3 ± 2.3,4.0 ± 0.0
button_switch,90.9 ± 0.8,98.9 ± 0.2,94.1 ± 0.1,99.3 ± 0.0,86.7 ± 0.2,80.4 ± 0.3,82.5 ± 0.2,89.6 ± 2.1,76.5 ± 0.9,30.9 ± 3.6,99.3 ± 0.6,99.9 ± 0.1,99.0 ± 0.3,6.7 ± 4.6,2.7 ± 4.6,1.3 ± 2.3
Mean,87.4 ± 0.2,97.6 ± 0.1,94.8 ± 0.1,91.7 ± 0.0,52.8 ± 0.2,52.8 ± 0.1,76.4 ± 0.1,66.2 ± 0.7,52.1 ± 0.2,37.5 ± 0.3,91.9 ± 0.7,98.7 ± 0.1,96.9 ± 0.1,42.4 ± 1.4,32.2 ± 1.0,23.3 ± 1.6
