Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,94.2 ± 2.4,99.2 ± 0.3,96.4 ± 0.9,92.8 ± 0.3,69.6 ± 1.7,64.3 ± 1.4,83.5 ± 1.0,46.6 ± 16.1,30.6 ± 13.1,19.5 ± 10.2,99.1 ± 0.8,99.9 ± 0.1,98.5 ± 0.9,13.9 ± 12.7,2.8 ± 2.4,1.4 ± 2.4
3_adapter,90.2 ± 1.3,98.6 ± 0.2,95.1 ± 0.3,98.5 ± 0.1,64.6 ± 0.3,60.9 ± 0.1,89.3 ± 0.1,66.7 ± 5.4,50.9 ± 6.0,32.0 ± 7.2,92.3 ± 2.2,98.9 ± 0.3,96.4 ± 0.6,50.7 ± 12.9,37.3 ± 14.0,18.7 ± 6.1
3pin_aviation_connector,74.6 ± 3.0,96.1 ± 0.5,93.6 ± 0.1,94.0 ± 0.3,53.1 ± 0.7,51.1 ± 0.8,75.3 ± 0.3,95.7 ± 0.9,87.2 ± 7.9,77.5 ± 9.4,73.4 ± 2.0,96.0 ± 0.3,94.4 ± 0.5,88.0 ± 10.6,82.7 ± 6.1,72.0 ± 8.0
4_wire_stepping_motor,75.2 ± 0.7,96.5 ± 0.1,94.1 ± 0.1,70.9 ± 0.2,1.9 ± 0.3,5.1 ± 0.4,42.6 ± 0.6,97.6 ± 1.6,91.2 ± 2.4,83.5 ± 3.6,92.2 ± 0.9,99.0 ± 0.2,94.8 ± 0.1,82.7 ± 4.6,57.3 ± 6.1,26.7 ± 12.9
D-sub-connector,94.6 ± 0.4,99.1 ± 0.1,95.9 ± 0.4,96.1 ± 0.2,63.1 ± 0.9,63.3 ± 0.9,84.7 ± 0.3,49.6 ± 10.7,29.1 ± 4.4,12.8 ± 1.9,98.0 ± 0.1,99.6 ± 0.0,99.6 ± 0.1,4.0 ± 0.0,4.0 ± 0.0,4.0 ± 0.0
DVD_switch,91.4 ± 0.2,98.7 ± 0.0,96.6 ± 0.2,86.4 ± 0.1,39.7 ± 0.3,40.4 ± 0.4,70.8 ± 0.2,42.7 ± 1.2,31.2 ± 2.1,25.9 ± 0.5,95.4 ± 0.6,99.3 ± 0.1,97.6 ± 0.4,26.7 ± 6.1,17.3 ± 4.6,16.0 ± 6.9
LED_indicator,80.0 ± 2.7,96.9 ± 0.3,94.1 ± 0.0,84.7 ± 0.6,22.0 ± 1.9,34.6 ± 2.0,62.1 ± 0.3,91.7 ± 3.2,80.0 ± 11.2,59.7 ± 13.0,85.0 ± 2.2,98.0 ± 0.3,94.6 ± 0.3,85.3 ± 4.6,77.3 ± 6.1,70.7 ± 4.6
PLCC_socket,85.8 ± 1.1,98.1 ± 0.2,94.2 ± 0.0,98.6 ± 0.1,85.2 ± 0.2,80.8 ± 0.2,86.0 ± 1.0,91.7 ± 4.1,81.9 ± 4.9,57.6 ± 3.5,93.6 ± 1.9,99.2 ± 0.3,96.2 ± 0.7,53.3 ± 16.2,41.3 ± 16.2,22.7 ± 15.1
VR_joystick,86.9 ± 0.5,97.3 ± 0.1,93.2 ± 0.2,98.3 ± 0.0,67.5 ± 0.4,63.2 ± 0.5,90.7 ± 0.1,73.5 ± 2.7,56.8 ± 3.0,41.6 ± 2.5,91.8 ± 0.8,98.6 ± 0.2,97.5 ± 0.0,28.0 ± 4.0,20.0 ± 4.0,16.0 ± 0.0
access_card,91.2 ± 0.5,98.6 ± 0.2,95.9 ± 0.3,66.0 ± 0.6,16.9 ± 0.1,25.6 ± 0.2,77.8 ± 0.2,52.5 ± 6.0,40.3 ± 5.2,24.8 ± 2.1,89.3 ± 1.6,98.4 ± 0.4,96.3 ± 0.0,49.3 ± 4.6,40.0 ± 4.0,34.7 ± 6.1
