Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,84.8,97.7,94.2,84.7,50.5,48.1,73.1,92.7,74.0,50.4,92.6,98.7,97.3,37.5,25.0,16.7
3_adapter,87.8,98.2,94.7,98.2,59.6,60.4,88.1,77.2,68.5,46.5,94.5,99.2,97.3,28.0,20.0,8.0
3pin_aviation_connector,69.9,94.7,93.6,90.5,41.7,45.2,71.0,99.2,97.7,86.5,75.0,95.9,94.4,80.0,80.0,56.0
4_wire_stepping_motor,56.7,92.5,94.1,63.6,7.7,12.7,46.0,99.2,95.2,90.4,62.0,94.3,94.1,100.0,100.0,96.0
D-sub-connector,80.7,96.6,93.3,92.5,44.5,46.0,77.0,85.1,72.3,65.2,85.1,97.8,94.0,88.0,72.0,40.0
DVD_switch,85.7,97.9,94.6,83.7,30.8,38.0,69.5,80.8,59.2,44.8,94.7,99.2,96.6,40.0,28.0,8.0
LED_indicator,52.9,89.9,94.1,79.8,6.9,14.7,49.9,96.8,94.4,89.6,52.7,90.7,94.1,96.0,92.0,92.0
PLCC_socket,61.9,93.4,94.1,95.1,61.5,65.6,74.1,97.6,92.8,86.4,77.5,96.9,94.1,100.0,100.0,96.0
VR_joystick,71.5,93.9,91.8,95.5,45.0,47.7,77.9,96.5,90.6,81.2,74.7,95.9,94.3,96.0,84.0,72.0
access_card,67.5,94.9,94.0,58.5,11.8,20.5,73.3,95.2,93.6,88.0,68.5,95.2,94.0,100.0,100.0,100.0
accurate_detection_switch,73.8,95.8,93.9,88.5,39.4,40.8,70.2,90.6,82.0,71.9,82.6,97.7,94.3,95.8,83.3,54.2
aircraft_model_head,91.4,98.5,95.6,97.5,74.6,72.7,88.2,56.5,42.0,26.7,95.8,99.4,97.5,24.0,24.0,12.0
angled_toggle_switch,62.3,92.7,94.0,79.8,15.2,22.0,45.7,94.5,89.8,79.7,54.6,92.1,94.1,100.0,100.0,100.0
audio_jack_socket,52.8,84.4,90.6,90.2,7.9,13.0,66.0,98.5,95.9,91.2,37.1,85.3,94.1,100.0,100.0,100.0
bag_buckle,82.6,97.4,94.3,99.2,57.7,58.8,96.0,87.2,69.6,52.0,87.5,98.3,94.3,88.0,64.0,36.0
ball_pin,81.6,97.4,94.1,97.6,43.6,44.5,87.8,96.0,82.5,68.3,94.4,99.3,96.3,44.0,36.0,32.0
balun_transformer,75.3,94.5,91.7,91.0,46.3,49.7,54.7,97.7,90.7,72.1,79.7,96.5,94.3,92.0,76.0,56.0
battery,49.8,90.4,93.9,84.2,10.1,15.8,47.4,99.2,96.9,91.5,68.4,95.0,94.1,100.0,96.0,84.0
battery_holder_connector,79.6,96.4,94.1,86.1,34.8,39.4,78.2,80.6,69.0,59.7,90.6,98.7,96.3,52.0,44.0,40.0
battery_socket_connector,63.2,91.4,92.3,88.2,43.6,45.4,57.1,95.1,90.8,79.1,77.4,96.6,94.8,80.0,80.0,68.0
bend_connector,76.7,95.8,93.2,86.1,19.4,22.2,58.7,93.8,84.0,61.1,88.2,98.4,94.7,76.0,60.0,40.0
blade_switch,64.1,93.2,94.2,91.7,23.2,32.4,64.8,89.6,81.6,75.2,61.0,93.1,94.1,100.0,92.0,88.0
blue_light_switch,63.2,91.4,92.8,79.9,14.7,20.7,55.9,92.2,88.3,74.7,64.0,93.6,94.1,96.0,88.0,80.0
bluetooth_module,85.8,98.1,94.7,91.2,48.2,49.9,71.4,81.6,76.8,67.2,96.7,99.5,98.3,20.0,12.0,12.0
boost_converter_module,63.9,90.8,91.2,83.2,16.9,24.4,44.1,99.4,87.3,81.2,77.7,96.7,94.1,88.0,84.0,68.0
bread_model,71.6,93.1,92.9,88.4,18.5,22.4,70.5,91.4,82.9,70.4,63.9,94.7,94.6,92.0,88.0,88.0
brooch_clasp_accessory,94.0,99.1,95.1,97.2,74.3,68.2,87.8,60.1,39.1,21.7,99.2,99.9,98.8,8.0,4.0,0.0
button_battery_holder,72.4,95.4,93.9,84.0,17.1,25.6,51.8,92.2,85.9,81.2,81.6,97.0,94.3,88.0,60.0,52.0
button_motor,83.6,97.5,94.2,96.8,59.4,64.5,77.8,86.4,62.4,43.2,84.5,97.9,94.0,92.0,92.0,60.0
button_switch,87.7,97.9,95.3,98.4,70.3,69.0,76.1,67.2,52.8,29.6,88.6,98.3,96.6,44.0,36.0,36.0
car_door_lock_switch,65.8,92.7,94.3,91.3,30.8,40.6,69.4,87.2,79.2,74.4,60.5,92.1,94.1,84.0,80.0,80.0
ceramic_fuse,57.1,91.8,94.2,85.0,16.0,18.2,66.7,96.8,92.8,88.8,64.2,93.2,94.1,100.0,100.0,96.0
ceramic_wave_filter,62.9,93.6,94.1,87.3,26.9,30.7,65.7,95.2,88.8,76.0,84.2,97.8,94.1,92.0,80.0,52.0
charging_port,78.7,96.4,93.6,83.8,30.4,33.6,67.4,90.4,83.0,70.4,94.4,99.2,96.8,40.0,32.0,8.0
chip-inductor,70.7,95.1,94.0,82.1,28.5,32.1,64.7,97.6,92.1,78.6,79.9,97.0,94.1,88.0,80.0,68.0
circuit_breaker,80.4,97.1,94.1,94.5,43.9,44.3,79.7,89.0,75.6,66.1,93.6,99.0,97.3,28.0,20.0,16.0
circular_aviation_connector,44.5,78.6,87.5,58.4,4.8,7.5,33.3,100.0,100.0,99.6,55.7,91.6,94.1,100.0,100.0,100.0
common-mode-choke,55.0,83.3,91.2,92.2,24.0,31.2,67.8,89.8,85.0,81.3,43.6,88.3,94.1,100.0,100.0,100.0
common-mode-filter,74.2,95.8,93.9,84.1,34.6,36.7,67.0,90.8,74.8,68.7,84.0,97.7,94.5,80.0,64.0,48.0
connector,74.2,95.3,93.7,77.2,45.6,46.6,64.5,95.4,80.0,63.1,79.6,97.1,94.2,92.0,84.0,72.0
connector_housing-female,90.4,98.6,95.0,84.9,43.7,48.6,78.3,66.7,51.6,29.4,94.7,99.2,97.5,32.0,28.0,16.0
console_switch,64.2,93.4,94.2,72.6,12.2,21.5,62.2,87.2,82.4,72.8,76.5,96.2,94.1,84.0,64.0,60.0
crimp_st_cable_mount_box,81.5,97.1,93.4,94.7,53.0,53.5,82.0,89.4,80.3,69.0,93.5,99.2,94.9,72.0,48.0,20.0
dc_jack,67.6,92.3,92.0,81.7,35.9,33.4,71.9,95.2,83.1,72.3,84.5,97.9,94.3,88.0,72.0,52.0
dc_power_connector,71.8,95.3,94.5,88.9,25.1,33.7,79.3,86.4,79.2,74.4,83.1,97.3,94.7,72.0,48.0,48.0
detection_switch,73.4,93.9,91.1,83.8,36.4,40.2,47.5,91.9,86.0,78.5,91.8,98.9,95.9,64.0,44.0,28.0
duckbill_circuit_breaker,65.5,92.8,93.2,91.1,15.6,21.9,73.6,96.5,90.8,81.0,74.4,96.0,94.7,80.0,76.0,64.0
earphone_audio_unit,53.6,89.4,93.1,84.3,9.4,18.2,43.3,98.6,95.2,88.3,59.4,92.6,94.1,100.0,92.0,84.0
effect_transistor,71.8,91.8,90.7,96.3,63.2,61.9,76.8,84.7,79.8,69.0,73.9,96.0,94.8,84.0,80.0,64.0
electronic_watch_movement,72.6,95.4,94.2,94.2,38.9,42.7,58.4,91.2,85.6,75.2,77.3,96.4,94.1,96.0,80.0,60.0
ethernet-connector,71.3,93.1,92.5,80.3,17.4,23.0,67.6,89.3,85.7,82.1,67.7,93.5,94.1,88.0,84.0,76.0
ferrite_bead,82.4,97.3,93.7,97.6,62.0,63.4,78.6,88.1,72.4,59.7,89.3,98.5,95.4,68.0,44.0,32.0
ffc_connector_plug,71.6,90.3,93.1,95.3,28.8,37.2,68.1,69.9,61.9,48.3,39.2,87.8,94.1,96.0,96.0,96.0
flow_control_valve,74.9,93.8,93.3,98.2,49.2,53.7,88.5,83.3,72.0,54.0,74.9,95.9,94.3,92.0,80.0,64.0
flower_copper_shape,87.8,98.4,94.4,93.9,58.5,60.6,77.2,79.2,68.8,48.0,93.8,99.2,95.6,56.0,48.0,24.0
flower_velvet_fabric,88.3,98.4,94.6,89.1,50.5,51.5,73.4,77.6,65.6,43.2,95.0,99.3,96.2,68.0,28.0,12.0
fork-crimp-terminal,75.8,92.6,91.9,96.6,46.1,45.7,85.3,83.9,75.6,62.2,91.5,97.6,96.7,36.0,32.0,16.0
fuse_cover,69.6,93.0,92.0,91.0,34.3,41.4,71.9,97.0,90.9,83.6,73.9,96.1,94.6,95.7,87.0,69.6
fuse_holder,57.8,93.4,94.1,96.4,48.3,52.3,84.7,100.0,100.0,99.2,72.5,96.0,94.1,100.0,100.0,96.0
gear,93.2,98.9,97.2,97.4,71.7,70.2,89.9,31.0,23.8,19.8,99.9,100.0,99.3,0.0,0.0,0.0
Mean,72.4,94.2,93.5,88.1,36.3,39.9,69.2,88.2,79.5,68.4,78.3,96.3,95.1,75.3,66.5,55.2
